state,x,y,acronym
Acre,-196.0,57.0,AC
Alagoas,141.0,47.0,AL
Amapá,-13.0,159.0,AP
Amazonas,-135.0,102.0,AM
Bahia,89.0,22.0,BA
Ceará,110.0,91.0,CE
Distrito Federal,28.0,-13.0,DF
Espírito Santo,102.0,-55.0,ES
Goiás,11.0,-20.0,GO
Maranhão,55.0,97.0,MA
Mato Grosso,-53.0,15.0,MT
Mato Grosso Do Sul,-35.0,-55.0,MS
Minas Gerais,59.0,-38.0,MG
Pará,-21.0,96.0,PA
Paraíba,145.0,72.0,PB
Paraná,-13.0,-98.0,PR
Pernambuco,127.0,60.0,PE
Piauí,75.0,69.0,PI
Rio De Janeiro,82.0,-80.0,RJ
Rio Grande Do Norte,142.0,88.0,RN
Rio Grande Do Sul,-21.0,-151.0,RS
Rondônia,-123.0,33.0,RO
Roraima,-105.0,164.0,RR
Santa Catarina,5.0,-123.0,SC
São Paulo,21.0,-79.0,SP
Sergipe,131.0,41.0,SE
Tocantins,22.0,37.0,TO